algorithm,ENN,Imbalanced,ROS,RUS,SMOTE,SMOTE ENN,SMOTE SVM,SMOTE Tomek,Tomek
austra,0.84925+0.00145==0.85175+0.00535==0.123051095009+0.001338887215,0.83625+0.00145==0.83815+0.00115==0.0+0.0,0.8399+0.0094==0.8431+0.0093==0.00106315612793+0.00012149810791,0.8268+0.0035==0.82965+0.00265==0.00118718147278+0.000248670578003,0.84925+0.00585==0.85565+0.00635==0.120715475082+0.0003316879275,0.77825+0.00145==0.7578+0.0008==0.24183049202+3.83377075e-05,0.84205+0.00725==0.84565+0.00735==0.509781551361+0.004859209061,0.84495+0.00135==0.8461+0.0016==0.245182681083+0.0021265268325,0.84565+0.00945==0.85115+0.01085==0.122453999519+8.4376335e-05
cars,0.97885+0.00085==0.9432+0.0096==0.375202870369+0.001646304131,0.97945+0.00085==0.9436+0.0013==0.0+0.0,0.97975+0.00055==0.93955+0.00135==0.00298528671265+0.000398302078245,0.8732+0.0173==0.8995+0.0084==0.00152971744537+0.00029971599579,0.9806+0.0003==0.9505+0.0011==0.126025032997+0.00132920742,0.92645+0.00405==0.92065+0.00025==0.509607076645+0.003365278244,0.9777+0.0009==0.9462+0.0035==0.541544890403+0.0042702913285,0.98005+0.00085==0.94325+0.00495==0.266578245163+0.004658699036,0.98+0.0003==0.9457+0.004==0.132318544388+0.001993083954
ecoli,0.83285+0.00435==0.7552+0.0043==0.48144402504+0.0032110214235,0.8344+0.0026==0.7671+0.011==0.0+0.0,0.79475+0.02155==0.7422+0.0223==0.00108985900879+0.00019087791443,0.7594+0.0049==0.73215+0.00605==0.000710773468018+7.29084014895e-05,0.82665+0.00155==0.75945+0.00175==0.120524048805+0.0005791425705,0.80405+0.00595==0.78675+0.00185==0.601180768013+0.002165102959,0.8388+0.0015==0.78625+0.00665==0.48794605732+0.003383755684,0.8406+0.0031==0.7903+0.0065==0.243950629235+0.0015431642535,0.83005+0.00485==0.75765+0.01685==0.122921586036+0.0029700517655
glass,0.67875+0.01045==0.6238+0.039==0.59929664135+0.0003745794295,0.69745+0.00735==0.6404+0.0122==0.0+0.0,0.67505+0.01385==0.68965+0.01005==0.000723695755005+3.099441528e-06,0.5359+0.0274==0.6121+0.0176==0.000649094581604+7.510185242e-06,0.68125+0.00905==0.674+0.0002==0.144526386261+0.000314044952,0.63395+0.00485==0.6176+0.0023==0.747104096413+0.000463271141,0.69145+0.00575==0.67175+0.00325==0.388391017914+0.000251817703,0.7061+0.0241==0.69845+0.01995==0.268325710297+0.001777267456,0.691+0.0225==0.64455+0.01955==0.120546364784+0.000800681114
heart,0.7733+0.0037==0.7684+0.0013==0.123105883598+0.0001188993455,0.7712+0.0017==0.76555+0.00185==0.0+0.0,0.75285+0.00185==0.7509+0.0018==0.000829601287842+5.32150268555e-05,0.714+0.0038==0.71805+0.00395==0.00064480304718+5.304813385e-05,0.76035+0.00195==0.7557+0.0024==0.120499277115+0.000461912155,0.7139+0.0038==0.68935+0.00285==0.24337823391+0.0008921861645,0.7418+0.0056==0.736+0.0046==0.489927029609+7.46011735e-05,0.78255+0.02035==0.77735+0.02095==0.24195933342+0.000941133499,0.7585+0.0036==0.75375+0.00485==0.121331954002+4.46557995e-05
iris,0.9289+0.0156977705423==0.9289+0.0156977705423==0.241041723887+0.00153064974011,0.924466666667+0.0136860837674==0.924466666667+0.0136860837674==0.0+0.0,0.933333333333+0.0195997165512==0.933333333333+0.0195997165512==0.000531546274821+3.67126283946e-05,0.926666666667+0.0237237340138==0.926666666667+0.0237237340138==0.000567356745402+7.43010156337e-05,0.939966666667+0.0188561808316==0.939966666667+0.0188561808316==0.120093313853+0.000685699014065,0.9289+0.0206176299964==0.9289+0.0206176299964==0.360009241104+0.000834790614039,0.926666666667+0.019633701185==0.926666666667+0.019633701185==0.361477390925+0.00057547460412,0.933366666667+0.0188561808316==0.933366666667+0.0188561808316==0.240289990107+0.000677368800614,0.935566666667+0.0113420554673==0.935566666667+0.0113420554673==0.119536383947+0.000148953066764
led7,0.79815+0.00135==0.79485+0.00135==0.873456001282+0.0010396003725,0.7983+0.0019==0.79505+0.00195==0.0+0.0,0.7985+0.0029==0.79715+0.00305==0.00262269973755+1.3256073e-05,0.78485+0.00025==0.78445+0.00015==0.00348117351532+0.00036823749542,0.7977+0.0002==0.7964+0.0002==0.122807645798+0.0001933574675,0.6668+0.0031==0.6687+0.0038==0.995293998718+0.0056449890125,0.7979+0.0==0.79775+0.00025==0.576533007622+0.001767420769,0.7985+0.0006==0.79775+0.00065==0.267799282074+0.001590490341,0.7989+0.0021==0.79565+0.00215==0.145926880837+0.0017567396165
lymph,0.7921+0.0169==0.78575+0.01265==0.12136900425+0.0001444101335,0.77785+0.00265==0.767+0.0019==0.0+0.0,0.78165+0.00735==0.7746+0.0103==0.000514435768128+6.62088394165e-05,0.7602+0.0212==0.7648+0.0195==0.000513505935669+4.0912628174e-05,0.7919+0.0029==0.7854+0.0016==0.120366668701+0.000269317627,0.72905+0.02385==0.70115+0.02565==0.240827155113+1.83582300001e-06,0.8031+0.0217==0.79435+0.02805==0.483664989471+0.0042548179625,0.78145+0.01335==0.7711+0.0085==0.242135715485+0.000236082077,0.79975+0.01735==0.79055+0.01745==0.120454883576+0.0003222465515
magic,0.7849+0.0024==0.7984+0.0003==1.48643453121+0.13594505787,0.84675+0.00315==0.8109+0.0048==0.0+0.0,0.8134+0.0004==0.79435+0.00065==0.0166178941727+2.27212906e-05,0.8203+0.0047==0.81295+0.00195==0.0127791881561+1.816749575e-05,0.83365+0.00325==0.8162+0.0032==0.157119941711+0.011639881134,0.8429+0.0015==0.8066+0.0011==0.45882101059+0.01535820961,0.83335+0.00395==0.81595+0.00265==54.5676692724+0.9451744318,0.83725+0.00275==0.8177+0.0017==0.477497386932+0.0023980140685,0.84575+0.00035==0.81425+0.00025==0.270732140541+0.017491698265
nursery,0.88315+0.00235==0.9073+0.0018==10.786584425+0.2381259918,0.9973+0.0005==0.99615+0.00145==0.0+0.0,0.9973+0.0002==0.9969+0.0002==0.01158618927+0.00026297569275,0.93515+0.00025==0.94945+0.00025==0.0064662694931+0.000307059288025,0.99735+0.00055==0.9976+0.0008==0.14344830513+0.0005838871,0.99005+0.00135==0.9906+0.0007==0.713320016861+0.001732540131,0.99735+0.00055==0.99725+0.00115==1.6075897932+0.026730799675,0.99745+0.00045==0.9973+0.0004==0.637584996224+0.0058264493945,0.9971+0.0007==0.99705+0.00055==0.411977052688+0.0041059017185
