algorithm,ENN,Imbalanced,ROS,RUS,SMOTE,SMOTE ENN,SMOTE SVM,SMOTE Tomek,Tomek
austra,0.84982+0.00301688581156==0.85346+0.00601883709698==0.123028087616+0.00101959698755,0.84026+0.00756164003375==0.84344+0.00928624789676==0.0+0.0,0.84522+0.00845160339817==0.85016+0.00928280130133==0.00104876518249+8.52331896302e-05,0.83014+0.0152405511711==0.83282+0.0150713503045==0.00114608764648+0.000226720329846,0.84838+0.0054718918118==0.85336+0.00591560647778==0.122297391892+0.00220665605152,0.784+0.0120802317859==0.7634+0.0130616997363==0.244822883606+0.00344366171462,0.84296+0.012056301257==0.84552+0.0130560943624==0.51107131958+0.00342526431132,0.84576+0.00411271200061==0.84558+0.00369399512723==0.244405040741+0.0015068471484,0.84082+0.0117356550733==0.84434+0.0132709607791==0.122788591385+0.00142134490962
cars,0.98064+0.00254841126979==0.94918+0.00941284229125==0.376087656021+0.00147522870161,0.98032+0.00139628077406==0.94634+0.00465686589886==0.0+0.0,0.98044+0.0020577657787==0.94694+0.00780297379209==0.00294681549072+0.000337897755172,0.86416+0.0197769158364==0.89804+0.0125407495789==0.00152015686035+0.00023398915832,0.9786+0.00199198393568==0.94152+0.010082340998==0.126768550873+0.00120172390269,0.93052+0.00427897183912==0.92754+0.00655304509369==0.509852790833+0.00416650071103,0.97962+0.00171043854026==0.94864+0.00396363469558==0.54430188179+0.00460896855452,0.98056+0.000945727233403==0.9473+0.00624435745293==0.268540658951+0.00395270898753,0.97926+0.00245650157745==0.94136+0.00799514852895==0.133613033295+0.00174411629733
ecoli,0.82442+0.00841555702256==0.7391+0.0171852262132==0.481845254898+0.00246173371169,0.82076+0.0168938568717==0.74126+0.0257108226239==0.0+0.0,0.809+0.0195878533791==0.76328+0.0241947432307==0.00103099822998+0.000146638662328,0.76002+0.0137652315636==0.7368+0.0192080191587==0.000718927383423+6.66025550324e-05,0.82816+0.00509219009857==0.76012+0.0207496891543==0.12084186554+0.000503286285582,0.80006+0.0099552197364==0.77176+0.0207202895733==0.602240476608+0.00259275237579,0.8324+0.00875122848519==0.7716+0.0170170502732==0.496718969345+0.0158695439673,0.82822+0.0155248703698==0.7758+0.0192101015094==0.243483095169+0.00137306794281,0.82098+0.00890491998841==0.74354+0.016451577432==0.122130041122+0.00202676184869
glass,0.68076+0.0114817420281==0.6356+0.0304360969903==0.599512844085+0.00175821281535,0.6856+0.0150277077427==0.6428+0.0263296031113==0.0+0.0,0.67566+0.0235315617841==0.6867+0.0144710745973==0.000802946090698+9.10248688352e-05,0.54072+0.019221696075==0.63684+0.0257672350088==0.000741443634033+0.000158522008269,0.6833+0.0138513537245==0.68214+0.0162652513045==0.14767288208+0.00441695921287,0.63858+0.0120807946758==0.63402+0.0216915098599==0.747527751923+0.00294969634827,0.68408+0.0156045378015==0.6797+0.0109518948132==0.390304803848+0.00247377884976,0.68764+0.0243547613415==0.69006+0.0336533267301==0.268568048477+0.00327363085562,0.68662+0.0204370643684==0.6432+0.0238953551972==0.120435247421+0.000578104260417
heart,0.75614+0.0147017822049==0.75164+0.0141434932036==0.121622362137+0.00121751914204,0.76204+0.0203772029484==0.7566+0.0199418153637==0.0+0.0,0.74134+0.020646801205==0.73866+0.0234162849316==0.000668134689331+0.000136919983115,0.7021+0.0198727954752==0.70508+0.0190597376687==0.000602655410767+5.19418486613e-05,0.76806+0.0204934721314==0.76302+0.0205888707801==0.120084991455+0.000450189911677,0.71302+0.00916502045824==0.689+0.00925397212012==0.242152223587+0.00121126909695,0.75466+0.0181236420181==0.75042+0.0186277642244==0.487490530014+0.00211806626579,0.7591+0.0366676424113==0.7527+0.037254207816==0.241166057587+0.00107096775551,0.75914+0.0107326790691==0.75536+0.0104231665054==0.120834341049+0.000429146833905
iris,0.93555+0.0157048559369==0.93555+0.0157048559369==0.241277138392+0.00147075173932,0.93335+0.0133250078174==0.93335+0.0133250078174==0.0+0.0,0.937766666667+0.0156930628694==0.937766666667+0.0156930628694==0.000525450706482+3.35355966387e-05,0.935566666667+0.01912081472==0.935566666667+0.01912081472==0.000582639376322+5.75559530549e-05,0.941083333333+0.0146139678238==0.941083333333+0.0146139678238==0.120422792435+0.000990942470382,0.926683333333+0.017638349948==0.926683333333+0.017638349948==0.361536979675+0.00211157505694,0.933333333333+0.0184611905238==0.933333333333+0.0184611905238==0.362387164434+0.00162892933854,0.935583333333+0.0147388847008==0.935583333333+0.0147388847008==0.2406731685+0.00116184417083,0.942216666667+0.0113224580174==0.942216666667+0.0113224580174==0.120105926196+0.000965698534044
led7,0.7987+0.00318622033136==0.79558+0.00308765283023==0.868792190552+0.00491519778876,0.7993+0.00283830935594==0.79616+0.00284928061096==0.0+0.0,0.79844+0.00295337095537==0.7975+0.0031692270351==0.00265382766724+0.000191049922132,0.79134+0.00624583060929==0.79054+0.00589664311282==0.00288828849792+0.000538086793796,0.7979+0.0034773553169==0.79684+0.00360366480128==0.122346248627+0.000943666005882,0.6634+0.0130414723095==0.66526+0.0121171943947==0.987766265869+0.0072724108666,0.79954+0.00306633331522==0.79992+0.00334628151834==0.570563716888+0.0057997533645,0.79836+0.00287374320356==0.79722+0.0028308302669==0.270307703018+0.00261337892929,0.79978+0.0029205478938==0.79664+0.00294862679904==0.147981023789+0.00227432848496
lymph,0.79828+0.026249449518==0.78928+0.0275832847935==0.121770639419+0.0012466576338,0.78018+0.0229260899414==0.77024+0.0245874439501==0.0+0.0,0.79038+0.0258318717866==0.78366+0.0304472396122==0.000471515655518+5.84402143411e-05,0.74886+0.0439166756483==0.75188+0.0429437026815==0.000476350784302+4.43178047145e-05,0.80534+0.0142815405331==0.79824+0.0144768228559==0.120276966095+0.000285916061706,0.7241+0.0270120713756==0.69836+0.0263452158845==0.240897760391+0.000858568404587,0.78438+0.0316690006157==0.77426+0.0364077244551==0.481861515045+0.00310106251056,0.79174+0.0213913627429==0.78366+0.0238333883449==0.241278562546+0.00167472553083,0.8003+0.0141272785773==0.7915+0.0158465138122==0.120255184174+0.000624447783057
magic,0.78398+0.00245226425982==0.7972+0.00125379424149==1.53543834686+0.0950736112558,0.8455+0.0025495097568==0.8093+0.00388638649648==0.0+0.0,0.814+0.00112605506082==0.79496+0.00112534439173==0.0158260154724+0.000664373539709,0.81874+0.0038696769891==0.81048+0.00290475472286==0.0131434631348+0.000871129145847,0.8331+0.00227244361866==0.81602+0.00240865107477==0.153415460586+0.0132362117952,0.84238+0.00110344913793==0.80586+0.000993176721435==0.428955612183+0.0268721143002,0.834+0.00262906827602==0.81686+0.00206455806409==54.2602156162+2.11506825832,0.83632+0.00309153683465==0.81678+0.00221305219098==0.460263223648+0.0470249702022,0.84512+0.000893084542471==0.81392+0.000495580467735==0.270890836716+0.0151082407908
nursery,0.8832+0.00205231576518==0.9064+0.0013827508814==11.6924600315+0.826576083001,0.99736+0.000361109401705==0.99584+0.001747684182==0.0+0.0,0.99736+0.000265329983228==0.99712+0.000256124969497==0.011773815155+0.000863427886995,0.93796+0.00332541726705==0.95152+0.00229120055866==0.00635179519653+0.000230388141978,0.99736+0.000422374241639==0.99736+0.000811418511004==0.144891557693+0.00215970774622,0.99064+0.00130629246342==0.99154+0.00104422219858==0.709179773331+0.0393523050876,0.99746+0.000500399840128==0.99746+0.000909065454189==1.60574368477+0.0354999063726,0.99736+0.000387814388593==0.99724+0.000463033476112==0.627984638214+0.0129876259196,0.99736+0.000516139516023==0.99666+0.00119431989015==0.395671100616+0.0152879050318
