algorithm,ENN,Imbalanced,ROS,RUS,SMOTE,SMOTE ENN,SMOTE SVM,SMOTE Tomek,Tomek
austra,0.8512+0.00300111090543==0.855166666667+0.00651374614864==0.122759723663+0.00116827815116,0.8372+0.00179071680248==0.839533333333+0.00216999743983==0.0+0.0,0.844966666667+0.0104999470898==0.849166666667+0.0114572635864==0.00105098088582+0.000100685979781,0.829966666667+0.00531245915017==0.833633333333+0.00603453026801==0.00111433664958+0.000227678371342,0.849733333333+0.00482516551242==0.855933333333+0.00520021367082==0.121153450012+0.000676009368148,0.774833333333+0.00497482551341==0.753666666667+0.0058817986667==0.242894538244+0.00150511414436,0.8493+0.0118392004235==0.853+0.0120024997396==0.510290225347+0.00403221695593,0.846366666667+0.00228667638482==0.8474+0.00225536397654==0.244625727335+0.00190660410191,0.847333333333+0.00807478929894==0.8523+0.00900703428808==0.122168111801+0.000410133903189
cars,0.979333333333+0.000974109279747==0.946166666667+0.00889056928561==0.376153977712+0.00190160157507,0.979366666667+0.000703957069398==0.942766666667+0.00158605030045==0.0+0.0,0.979366666667+0.000703957069398==0.941033333333+0.00236971634496==0.00309211413065+0.000358590608958,0.8674+0.0163342176631==0.900066666667+0.00690523151112==0.00150089263916+0.000248089078749,0.978966666667+0.00232283351869==0.942066666667+0.0119603047156==0.126807689667+0.00155014983214,0.928966666667+0.00485821183382==0.922766666667+0.00300037034751==0.507575972875+0.00397502580562,0.978966666667+0.00193620476419==0.947233333333+0.00320970749792==0.541332801183+0.00349955554727,0.980133333333+0.000703957069398==0.9429+0.0040718546143==0.26740582784+0.00397979530223,0.978366666667+0.00232283351869==0.9398+0.00896028273363==0.132809289297+0.00176915711453
ecoli,0.828166666667+0.00751546553596==0.750133333333+0.00797927871984==0.480846961339+0.00275440420277,0.8333+0.00263185612575==0.760566666667+0.012885478476==0.0+0.0,0.8069+0.0245936306117==0.7542+0.0248902926191==0.00105555852254+0.000163225709346,0.755766666667+0.0065122107528==0.734766666667+0.00617215971566==0.000711425145467+5.95365941152e-05,0.827366666667+0.0016213848676==0.7489+0.0149882175947==0.120583772659+0.000480351907887,0.7968+0.0113457774818==0.770933333333+0.0224190890884==0.600718975067+0.00188457404524,0.8363+0.00374165738677==0.774233333333+0.0178404658634==0.489188909531+0.00327453277931,0.834533333333+0.00894514144972==0.778066666667+0.018096285684==0.243199857076+0.00164769180274,0.823366666667+0.0102477097712==0.7499+0.0175899592571==0.122498671214+0.00249770272208
glass,0.6846+0.0118847240888==0.633866666667+0.0348808766455==0.599741490682+0.000699515324584,0.694133333333+0.00761679430965==0.637333333333+0.010864416945==0.0+0.0,0.688633333333+0.0222911541997==0.695+0.0111615411122==0.000765721003215+5.94865306829e-05,0.5415+0.0237323969853==0.622166666667+0.020228253069==0.000785207748413+0.000192590732588,0.684033333333+0.00837230885452==0.682233333333+0.0116448367194==0.148364702861+0.00543425230611,0.639233333333+0.00845629285733==0.627433333333+0.0140326603164==0.748366069794+0.00182434473956,0.683166666667+0.012620177847==0.674966666667+0.00526645569198==0.390379222234+0.00281925302326,0.700566666667+0.0211764544299==0.703233333333+0.0176379011097==0.270268472036+0.00310715830878,0.691233333333+0.0183741364121==0.646766666667+0.0162674180154==0.120626481374+0.000663498932577
heart,0.762+0.0162636609245==0.7579+0.0148871309078==0.12232503891+0.00110854028254,0.7643+0.00985630086121==0.759333333333+0.00892051318902==0.0+0.0,0.743466666667+0.0133557311876==0.741+0.014077641848==0.000749079386393+0.000121882919016,0.7176+0.00596210253742==0.720266666667+0.00449765370931==0.000632111231486+4.68853286349e-05,0.755833333333+0.00658297467377==0.751366666667+0.00643393779544==0.120252593358+0.000513758351982,0.711333333333+0.00477516724547==0.6855+0.00592114853724==0.242743873596+0.00115563407535,0.747166666667+0.00886052418816==0.741866666667+0.0091072620596==0.488422028224+0.00212926479474,0.760766666667+0.035001555521==0.754433333333+0.0366462670526==0.241890144348+0.000774636966953,0.7583+0.00295296461205==0.752566666667+0.00429909551211==0.121024290721+0.000436626633326
iris,0.936675+0.0191354873207==0.936675+0.0191354873207==0.241070544719+0.00132652116128,0.930025+0.0152698027165==0.930025+0.0152698027165==0.0+0.0,0.938325+0.0190489336972==0.938325+0.0190489336972==0.000537419319153+3.33817429428e-05,0.931675+0.0223016114889==0.931675+0.0223016114889==0.000567460060119+6.43468158881e-05,0.9433+0.0173205080757==0.9433+0.0173205080757==0.120176196098+0.000610938420097,0.931675+0.0184909944297==0.931675+0.0184909944297==0.360839021206+0.00160880750195,0.931675+0.0190882653743==0.931675+0.0190882653743==0.36176301241+0.000702223014179,0.935025+0.0165806174493==0.935025+0.0165806174493==0.240335845947+0.000591970981719,0.94+0.0124677584192==0.94+0.0124677584192==0.119556593895+0.000133662216421
led7,0.796633333333+0.00241154629969==0.793533333333+0.00216384431562==0.871681133906+0.00264968319318,0.7974+0.00200665559244==0.794266666667+0.00193964487013==0.0+0.0,0.7979+0.00251528659732==0.796866666667+0.00252234458832==0.00275510152181+0.000187556961831,0.7892+0.00615521459144==0.788233333333+0.00535184288094==0.00316500663757+0.000538815575613,0.7957+0.00283313724812==0.794466666667+0.00273901847789==0.123025560379+0.000346263295513,0.661366666667+0.00809004875689==0.663633333333+0.00780825773709==0.991913986206+0.00664024872484,0.797133333333+0.00108423039782==0.797233333333+0.000758653778449==0.573788197835+0.00414131367802,0.796733333333+0.00254602086052==0.795866666667+0.00271579740694==0.268918927511+0.00204784068983,0.797933333333+0.00219291789379==0.7948+0.00212759645296==0.147031466166+0.00212076406559
lymph,0.809666666667+0.0284179911715==0.803666666667+0.0273623017225==0.122003221512+0.00090463579911,0.793+0.0215343137032==0.783633333333+0.023574185505==0.0+0.0,0.800133333333+0.0268194373957==0.796033333333+0.0314563542424==0.000503015518189+5.64203080629e-05,0.776966666667+0.0293576035958==0.780366666667+0.0271687729245==0.000504604975383+3.56980338036e-05,0.804766666667+0.0183496291213==0.798566666667+0.0186662499953==0.120438830058+0.000242423552762,0.7392+0.0241921474863==0.712066666667+0.0260184976934==0.240709193547+0.00016682958005,0.805233333333+0.017973004448==0.797733333333+0.0233971983128==0.482400194804+0.00390747937054,0.797966666667+0.0257762595338==0.790733333333+0.0286199619535==0.241210699082+0.00132229618124,0.8054+0.0162642757806==0.797966666667+0.0176922456335==0.12018070221+0.000468593003266
magic,0.7846+0.00200499376558==0.798133333333+0.000449691252108==1.51018082301+0.115967575588,0.845333333333+0.00326019767635==0.809033333333+0.00472534537245==0.0+0.0,0.8137+0.000535412613474==0.794533333333+0.000590668171556==0.0162372748057+0.000538596673202,0.819533333333+0.00398775904766==0.8117+0.00237907545067==0.012975247701+0.000277666578617,0.8331+0.00276526068693==0.815433333333+0.00282881993457==0.161494239171+0.0113399079249,0.842466666667+0.00136950923894==0.805966666667+0.00126841983936==0.445046679179+0.0231670918889,0.833933333333+0.00332899717967==0.816433333333+0.00226911632335==55.6160652319+1.67147778337,0.838066666667+0.00252498624859==0.817933333333+0.0014267289706==0.494066842397+0.0235144074224,0.845766666667+0.000286744175568==0.813833333333+0.000623609564462==0.276948976517+0.0167711390358
nursery,0.883333333333+0.00193620476419==0.906966666667+0.00154344492037==11.4601523082+0.972208848507,0.997233333333+0.000418993502999==0.995266666667+0.00172111075246==0.0+0.0,0.9973+0.000163299316186==0.997+0.000216024689947==0.0121950308482+0.000887400855243,0.938166666667+0.00427109145561==0.951533333333+0.00295334085778==0.00645197232564+0.000251526848606,0.997266666667+0.000464279609239==0.997166666667+0.000895668589503==0.144697348277+0.00182961753604,0.9909+0.00163095064303==0.991366666667+0.00122565175406==0.687181425095+0.036992608576,0.9974+0.000454606056566==0.9973+0.000941629792788==1.62501813571+0.0329218976603,0.9974+0.000374165738677==0.997033333333+0.00049888765157==0.631363455455+0.0100023404315,0.997233333333+0.000601849002842==0.9962+0.00128322510366==0.407206821442+0.00753320415966
